,var_name,var_label,timepoint,subject,n_observed,data_source,gr_section,gr_qnumber,reporter,var_comp,questionnaire,questionnaire_ref,constructs,var_type,orig_file,n_total,n_missing,descriptives
10,DETAILS,overmatige details of onverwerkt verleden,30 w,mother,910,home-interview, , ,mother,score,,,,factor,20070423_expressed emotions Focus 30 weken,1232,322,"{'afwezig': 887, 'aanwezig': 23}"
11,POS_OPM,aantal positieve opmerkingen,30 w,mother,909,home-interview, , ,mother,score,,,,numeric,20070423_expressed emotions Focus 30 weken,1232,323,"{'Min.': 0, '1st Qu.': 1, 'Median': 2, 'Mean': 2.32, '3rd Qu.': 3, 'Max.': 13}"
12,EE_SUB,EE-subgroep,30 w,mother,910,home-interview, , ,mother,score,,,,factor,20070423_expressed emotions Focus 30 weken,1232,322,"{'laag': 406, 'g/Krit': 93, 'g/EOI': 249, 'g/Krit, g/EOI': 65, 'Krit': 24, 'EOI': 40, 'Krit,EOI': 4, 'g/Krit, EOI': 9, 'Krit, g/EOI': 20}"
13,EE,expressed emotion,30 w,mother,910,home-interview, , ,mother,score,,,,factor,20070423_expressed emotions Focus 30 weken,1232,322,"{'Laag': 816, 'Hoog': 94}"
14,NEG_VERW,aantal negatieve verwachtingen,30 w,mother,54,home-interview, , ,mother,score,,,,numeric,20070423_expressed emotions Focus 30 weken,1232,1178,"{'Min.': 1, '1st Qu.': 1, 'Median': 1, 'Mean': 1.37, '3rd Qu.': 1, 'Max.': 7}"
15,OVER_EMB,over embellishment,30 w,mother,5,home-interview, , ,mother,score,,,,numeric,20070423_expressed emotions Focus 30 weken,1232,1227,"{'Min.': 2, '1st Qu.': 2, 'Median': 2, 'Mean': 2.4, '3rd Qu.': 3, 'Max.': 3}"
16,OPMERK,opmerkingen,30 w,mother,0,home-interview, , ,mother,score,,,,character,20070423_expressed emotions Focus 30 weken,1232,1232,"{'Min.': 1232, '1st Qu.': 'character'}"
17,BEOORD,beoordelaar,30 w,mother,1232,home-interview, , ,mother,score,,,,factor,20070423_expressed emotions Focus 30 weken,1232,0,"{'': 307, 'MN': 109, 'SK': 361, 'SK,  SV, MN': 3, 'SK, SV, MN': 14}"
18,BOR_LINE,borderline score,30 w,mother,783,home-interview, , ,mother,score,,,,factor,20070423_expressed emotions Focus 30 weken,1232,449,"{'niet': 429, 'borderline': 354}"
19,H_EOI,Hoog EOI,30 w,mother,783,home-interview, , ,mother,score,,,,factor,20070423_expressed emotions Focus 30 weken,1232,449,"{'laag': 746, 'hoog': 37}"
20,HANDL,Oude of nieuwe handleiding,30 w,mother,910,home-interview, , ,mother,score,,,,factor,20070423_expressed emotions Focus 30 weken,1232,322,"{'oud': 127, 'nieuw': 783}"
21,SEXE_P,geslacht,30 w,father,798,home-interview, , ,father,score,,,,factor,20070423_expressed emotions Focus 30 weken,1232,434,"{'man': 798, 'vrouw': 0}"
22,UITSPR1P,eerste uitspraak,30 w,father,797,home-interview, , ,father,score,,,,factor,20070423_expressed emotions Focus 30 weken,1232,435,"{'neutraal': 152, 'positief': 633, 'negatief': 12}"
23,RELATIEP,relatie,30 w,father,797,home-interview, , ,father,score,,,,factor,20070423_expressed emotions Focus 30 weken,1232,435,"{'neutraal': 170, 'positief': 626, 'negatief': 1}"
24,KRITIEKP,aantal kritische uitspraken,30 w,father,797,home-interview, , ,father,score,,,,numeric,20070423_expressed emotions Focus 30 weken,1232,435,"{'Min.': 0, '1st Qu.': 0, 'Median': 0, 'Mean': 0.05, '3rd Qu.': 0, 'Max.': 5}"
25,DISSATP,dissatisfactie,30 w,father,797,home-interview, , ,father,score,,,,factor,20070423_expressed emotions Focus 30 weken,1232,435,"{'afwezig': 662, 'aanwezig': 135}"
26,HUILENP,huilen,30 w,father,797,home-interview, , ,father,score,,,,factor,20070423_expressed emotions Focus 30 weken,1232,435,"{'afwezig': 797, 'aanwezig': 0}"
27,SELFCENP,aantal self-centered uitspraken,30 w,father,795,home-interview, , ,father,score,,,,numeric,20070423_expressed emotions Focus 30 weken,1232,437,"{'Min.': 0, '1st Qu.': 0, 'Median': 0, 'Mean': 0.13, '3rd Qu.': 0, 'Max.': 3}"
28,STATATTP,aantal statements of attitude,30 w,father,797,home-interview, , ,father,score,,,,numeric,20070423_expressed emotions Focus 30 weken,1232,435,"{'Min.': 0, '1st Qu.': 0, 'Median': 0, 'Mean': 0.02, '3rd Qu.': 0, 'Max.': 2}"
29,OPOFFERP,zelf-opofferend of overbeschermend,30 w,father,797,home-interview, , ,father,score,,,,factor,20070423_expressed emotions Focus 30 weken,1232,435,"{'afwezig': 784, 'aanwezig': 13}"
30,DETAILSP,overmatige details of onverwerkt verleden,30 w,father,797,home-interview, , ,father,score,,,,factor,20070423_expressed emotions Focus 30 weken,1232,435,"{'afwezig': 773, 'aanwezig': 24}"
31,POSOPMP,aantal positieve opmerkingen,30 w,father,797,home-interview, , ,father,score,,,,numeric,20070423_expressed emotions Focus 30 weken,1232,435,"{'Min.': 0, '1st Qu.': 1, 'Median': 2, 'Mean': 2.39, '3rd Qu.': 4, 'Max.': 17}"
32,EE_SUBP,EE-subgroep,30 w,father,798,home-interview, , ,father,score,,,,factor,20070423_expressed emotions Focus 30 weken,1232,434,"{'laag': 405, 'g/Krit': 61, 'g/EOI': 212, 'g/Krit, g/EOI': 47, 'Krit': 19, 'EOI': 27, 'Krit,EOI': 4, 'g/Krit, EOI': 4, 'Krit, g/EOI': 19}"
33,EE_P,expressed emotion,30 w,father,798,home-interview, , ,father,score,,,,factor,20070423_expressed emotions Focus 30 weken,1232,434,"{'Laag': 726, 'Hoog': 72}"
34,NEGVERWP,aantal negatieve verwachtingen,30 w,father,40,home-interview, , ,father,score,,,,numeric,20070423_expressed emotions Focus 30 weken,1232,1192,"{'Min.': 1, '1st Qu.': 1, 'Median': 1, 'Mean': 1.32, '3rd Qu.': 1, 'Max.': 4}"
35,OVEREMBP,over embellishment,30 w,father,8,home-interview, , ,father,score,,,,numeric,20070423_expressed emotions Focus 30 weken,1232,1224,"{'Min.': 2, '1st Qu.': 2, 'Median': 2, 'Mean': 2, '3rd Qu.': 2, 'Max.': 2}"
36,OPMERKP,opmerkingen,30 w,father,0,home-interview, , ,father,score,,,,character,20070423_expressed emotions Focus 30 weken,1232,1232,"{'Min.': 1232, '1st Qu.': 'character'}"
37,BEOORDP,beoordelaar,30 w,father,1232,home-interview, , ,father,score,,,,factor,20070423_expressed emotions Focus 30 weken,1232,0,"{'': 420, 'MN': 100, 'SK': 313, 'SK,  SV, MN': 2, 'SK, SV, MN': 11}"
38,BORLINEP,borderline score,30 w,father,689,home-interview, , ,father,score,,,,factor,20070423_expressed emotions Focus 30 weken,1232,543,"{'niet': 410, 'borderline': 279}"
39,H_EOI_P,Hoog EOI,30 w,father,689,home-interview, , ,father,score,,,,factor,20070423_expressed emotions Focus 30 weken,1232,543,"{'laag': 661, 'hoog': 28}"
40,HANDL_P,Oude of nieuwe handleiding,30 w,father,798,home-interview, , ,father,score,,,,factor,20070423_expressed emotions Focus 30 weken,1232,434,"{'oud': 109, 'nieuw': 689}"
41,IDC,Id Child, ,child,9901, , , , ,child, , , ,numeric,"20090326_GR1019-BSI E5; 20090505_Focus Cidi - consent fase 2; 20190306_SeasonGR1081; 20200111_GR1029_CBCL A1_1.5_incl_Tscores; ASTHMA-RESPIRATORY INFECTIONS-ATOPY_22112016; BRIEF - 48 months_22112016; BSI 3 years of age_GR1065 G1-GR1066 C1_22112016; CBCL_3_incl_Tscores__GR1065E2_GR1066A1_20201111; CHILD_CovidQuestionnaire1_28102021; CHILD_CovidQuestionnaire2_28102021; CHILD_CovidQuestionnaireFU1_28102021; CHILD_CovidQuestionnaireFU2_28102021; CHILDABDOMINALPAIN_25062012; CHILDADHDMEDICATION5_17112016; CHILDADHDMEDICATION9_04042017; CHILDADHDMEDICATION9_17112016; CHILDASTHMA-RTI-ATOPY5_12112012; CHILDBehavioralHealthcareUse5-9y_20122018; CHILDBREASTFEEDING-GR1060_11072012; CHILDBREASTFEEDING_18122017; CHILDCBCL_6_incl_Tscores_20201111; CHILDCBCL5_17072015; CHILDCBCL9_incl_Tscores_20201111; CHILDDietScore_1y_18052018; CHILDDietScore_2y_18052018; CHILDDietScore_8y_18052018; CHILDDISC_IV_YC_23062020; CHILDHOMEVISIT5_RESPONS_27082013; CHILDNUTRITION8_AddedSugar_10022017; CHILDNUTRITION8_AddedSugar_10022017; CHILDNUTRITION8_AddedSugar_10022017; CHILDNUTRITION8_AddedSugar_10022017; CHILDNUTRITION8_AddedSugar_10022017; CHILDNUTRITION8_AddedSugar_10022017; CHILDNUTRITIONFOODGROUPS_26042015; CHILDNUTRITIONONEYEAR_Additional nutrients_including BF contribution_plusGI_aminoacids_190814; CHILDNUTRITIONONEYEAR_all nutrients including breastfeeding_23082013; CHILDNUTRITIONTWOYEARS_inclG1andAMINOACIDS_22112016; CHILDRISKBEHAVIOUR13_04062020; CHILDTRF_incl_Tscores_20201111; FFQ_2y_fooditems_22112016; FFQ_2y_NUTRIENTS_22112016; G1081_A1_12082016; GR1018-A_01072012; GR1018-B3-9_01072012; GR1018-C1_01072012; GR1018-C2-9_01072012; GR1018-D1-18_16102012; GR1018-D19_16102012; GR1018-E_01072012; GR1018-F_01072012; GR1018_MILK_BRAND_20082020; GR1019-A14-15_01072012; GR1019-A5_01072012; GR1019-A6-10_01072012; GR1019-B_01072012; GR1019-C1-5_01072012; GR1019-C10-13_01072012; GR1019-C6-9_01072012; GR1019-D_01072012; GR1024-A_01072012; GR1024-B_01072012; GR1024-BSI A8_22112016; GR1024-C_01072012; GR1024-D1-8_01072012; GR1024-D9-15_01072012; GR1025-A3-15_01072012; GR1025-B1-5_01072012; GR1025-C1_01072012; GR1025-C2_01072012; GR1025-C3-8_01072012; GR1025-D1-9_01072012; GR1025-E1-6_01072012; GR1025-F1-11_01072012; GR1025-G6_09102012; GR1025-H1-4_01072012; GR1025-I1-7_01072012; GR1025-IBQ F12-F15, G1-G5_22112016; GR1028-A1-17_01072012; GR1028-B1_01072012; GR1028-B2-3_01072012; GR1028-B4_01072012; GR1028-B5_01072012; GR1028-B6_01072012; GR1028-B7_01072012; GR1028-C1-3_01072012; GR1028-D1-10_01072012; GR1028-E1-3_01072012; GR1028-F1-3_01072012; GR1028-F4-14_01072012; GR1028-G1-4_01072012; GR1028-H1-6_01072012; GR1029-A2_01102012; GR1029-B1_01072012; GR1029-C1-3_01072012; GR1029-D1-8_01072012; GR1032-A1-2_01072012; GR1032-A10_01072012; GR1032-A11-14_01072012; GR1032-A15_01072012; GR1032-A3-7_01072012; GR1032-A8-9_01072012; GR1032-B1-3_01072012; GR1032-C1-12_01072012; GR1032-D1_01072012; GR1032-D14-15_01072012; GR1032-D16-19_01072012; GR1032-D2_01072012; GR1032-D3-13_01072012; GR1032-E1-2_08102012; GR1032-E12-21_08102012; GR1032-E22_08102012; GR1032-E3_08102012; GR1032-E4-11_08102012; GR1032-F1-17_01072012; GR1032-G1-11_01072012; GR1032-G13-14_01072012; GR1060-Voedingspatroon_E-G_22112016; GR1062-E4and5_22112016; GR1064-Voedingspatroon_E-G_22112016; GR1065-A1-3_01072012; GR1065-A10_01072012; GR1065-A11-22_01072012; GR1065-A23-27_01072012; GR1065-A4_01072012; GR1065-A5-6_01072012; GR1065-A7-9_01072012; GR1065-B1-3_01072012; GR1065-C1-10_01072012; GR1065-D1-14_01072012; GR1065-E1_01072012; GR1065-E3-7_01072012; GR1065-G2_01072012; GR1065-G3-6_01072012; GR1065-H1_01072012; GR1065-X_01072012; GR1066-A2-15_01072012; GR1067-A1-5_01072012; GR1067-A11_01072012; GR1067-A12-14_01072012; GR1067-A15_01072012; GR1067-A6-10_01072012; GR1067-B1_01072012; GR1067-B2-15_01072012; GR1067-C1-15_01072012; GR1067-D1-14_01072012; GR1067-E1-3_01072012; GR1067-F2-3_01072012; GR1067-G1_01072012; GR1067-H1-8_01072012; GR1075-A_17072015; GR1075-B3_17072015; GR1075-B4_17072015; GR1075-C1_22052019; GR1075-C4-6_17072015; GR1075-D1-25_17072015; GR1075-D5_13062016; GR1075-E1-3_17072015; GR1075-E4_17072015; GR1075-F1-9_17072015; GR1075-F10-17_21122015; GR1075-H_17072015; GR1076-A2_14122015; GR1076-A345_091021012; GR1076-B_07032013; GR1076-C8-12_13052013; GR1076-D_07032013; GR1076-E1-2_12112012; GR1076-E11-13_30082013; GR1076-E345_28032012; GR1076-E6-10_12112012; GR1076-F1_24032014; GR1076-F2_29112012; GR1076-G16-21_18122012; GR1076-H1_17052018; GR1076-H4_12092013; GR1076_G1-15_29082013; GR1080-A1_17072015; GR1080-C10-11_04042017; GR1080-D1-2_03022020; GR1080-E_Bullying_17072015; GR1080-F1_ConnersShortForm_17072015; GR1080-F2_OCD_17072015; GR1080-F3_26062018; GR1081-C3_C4_25042017; GR1081-C6_30052017; GR1081-G2_28022018; GR1081-GR1083_D1_BSI_19042017; GR1081_B1-5,18,19_25042017; GR1081_B6-11_08082016; GR1081_C1_08082016; GR1081_E1-3_5-6_08082016; GR1081_E4_30082016; GR1081_F_08082016; GR1081_H1-2_08082016; GR1081_H3-4_08082016; GR1081_H5-8_21122020; GR1081_H9_19102017; GR1081_I1-9_08082016; GR1081_I10-11_19102017; GR1081_I12-13_08082016; GR1082-B8_GR1083-D2_AutismQuotient_12082016; GR1082_A_23022021; GR1082_A1_12082016; GR1082_B1-6_23052019; GR1082_C1-5_22092016; GR1082_C6-11_10082016; GR1082_D10-16_11082016; GR1082_D4-5_14062021; GR1082_D8-9_21112018; GR1082_E1_12062018; GR1082_E2_11082016; GR1082_E3_02012017; GR1082_F1-3_11082016; GR1082_F4-8_24012017; GR1082_F9-F13_02112016; GR1082_G_11082016; GR1082_H_11082016; GR1082_I_14022017; GR1083-B3_25082017; GR1083_A1_12082016; GR1083_B1-2_09032018; GR1083_B6,B8-11_12082016; GR1083_C1_12082016; GR1083_E1-6_23052019; GR1083_E7_19102016; GR1084-B2_09082017; GR1084-F2_30052017; GR1084_C1-2_17082016; GR1084_C10-C11_04042017; GR1084_C3-5_06072017; GR1084_D_17082016; GR1084_E-emotionregulation_17082016; GR1084_F1_24012017; GR1084_filledin_17082016; GR1084_H_11032019; GR1093-B2_B8-11_15122020; GR1093-B7_08062020; GR1093-E1_CBCL_18062020; GR1093-E2_14092020; GR1093-E4_21092020; GR1093-F_School_13052020; GR1093-G_03082020; GR1093-I4-6_11052020; GR1093_C_04102021; GR1093_D1-D10_15052020; GR1093_D11-D15_Eczema_Acne_19042021; GR1093_E3-SOCS parent_25112020; GR1093_G3-G5_31082020; GR1094-C1-2_TFEQ-Mother_29042020; GR1094-C4_DEBQ-Mother_29042020; GR1094-E_Hearing_22062020; GR1094_C3_C5-6_21092020; GR1094_F1-9_Oral-Dental_24092020; GR1094B1-B7_05082020; GR1095-D_11052020; GR1095-E_19082020; GR1095-G_11052020; GR1095_B1andC2_07082020; GR1095_C3-5_14092020; GR1095_F-Child-YSR_18062020; GR1096-B1_11052020; GR1096-B8_DEBQ-Child_29042020; GR1096-B9-10_TFEQ-Child_29042020; GR1096-D2_f-k_Delusion_12052020; GR1096-D2_SOCS-child_11052020; GR1096-E1-14_SHS_09072020; GR1096-F6-7_02072020; GR1096-G1-10_Hearing_14052020; GR1096-G11-16_08062020; GR1096_D1_02062020; GR1096_D2-l_11052020; GR1096_F10-22_18082021; GR1096B2-B7_19082020; GR1096C1-C9_05082020; GR1097_B16-20_CHILD_ENT-KNO13_10022021; Parca_en_LDS_dataset_intern_gebruik_22112016; PARENTEMPLOYMENT5_13082012; Parenting 3 years of age_GR1065 F1F6 -GR1066 B1-B5_22112016; PARENTS_LifestyleAddiction_06042020; PRESCHOOLWHEEZINGPATTERNS_22112016; SCQ-interviews_FinalCleaned_10092012; SEASONGR1075_17072015; SLEEPINGCHILD0-3YEARS_22112016; SLEEPINGCHILD2YEARS_22112016",9901,0,"{'Min.': 1, '1st Qu.': 2476, 'Median': 4952, 'Mean': 4954, '3rd Qu.': 7427}"
42,MND2_M,GR1019 respons 2 months mother (MND2_M),2 m,,7294,GR1019,,,mother,,,,,factor,20090326_GR1019-BSI E5; GR1019-A14-15_01072012; GR1019-A5_01072012; GR1019-A6-10_01072012; GR1019-B_01072012; GR1019-C1-5_01072012; GR1019-C10-13_01072012; GR1019-C6-9_01072012; GR1019-D_01072012,9901,2607,"{'sent': 1087, 'received': 5089, 'never sent': 1118}"
43,AGE2M_M,GR1019 Age questionnaire filled in 2 months mother (months) (AGE2M_M),2 m,,4629,GR1019,,,mother,,,,,numeric,20090326_GR1019-BSI E5; GR1019-A14-15_01072012; GR1019-A5_01072012; GR1019-A6-10_01072012; GR1019-B_01072012; GR1019-C1-5_01072012; GR1019-C10-13_01072012; GR1019-C6-9_01072012; GR1019-D_01072012,9901,5272,"{'Min.': 0.43, '1st Qu.': 2.28, 'Median': 2.8, 'Mean': 3.01, '3rd Qu.': 3.5, 'Max.': 5.97}"
44,E0500119,Nervousness or shaking inside_past week?,2 m,,4951,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,4946,"{'Not at all': 4135, 'A little': 647, 'Some': 91, 'Quite a bit': 59, 'Very much': 19}"
45,E0500219,Dizziness_past week?,2 m,,4954,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,4943,"{'Not at all': 3467, 'A little': 1183, 'Some': 182, 'Quite a bit': 81, 'Very much': 41}"
46,E0500319,The idea that someone else controls your thoughts_past week?,2 m,,4926,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,4971,"{'Not at all': 4689, 'A little': 168, 'Some': 37, 'Quite a bit': 20, 'Very much': 12}"
47,E0500419,Feeling that others are the cause of your problems_past week?,2 m,,4796,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,5101,"{'Not at all': 4159, 'A little': 480, 'Some': 81, 'Quite a bit': 34, 'Very much': 42}"
48,E0500519,Difficulty in remembering things_past week?,2 m,,4939,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,4958,"{'Not at all': 1877, 'A little': 2034, 'Some': 659, 'Quite a bit': 235, 'Very much': 134}"
49,E0500619,Easily becoming bored or feeling irritable_past week?,2 m,,4942,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,4955,"{'Not at all': 2433, 'A little': 1880, 'Some': 381, 'Quite a bit': 166, 'Very much': 82}"
50,E0500719,Pain in the chest or around the heart_past week?,2 m,,4944,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,4953,"{'Not at all': 4477, 'A little': 343, 'Some': 73, 'Quite a bit': 33, 'Very much': 18}"
51,E0500819,Feeling anxious in open spaces or on the street_past week?,2 m,,4940,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,4957,"{'Not at all': 4678, 'A little': 182, 'Some': 36, 'Quite a bit': 30, 'Very much': 14}"
52,E0500919,Feeling suicidal_past week?,2 m,,4935,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,4962,"{'Not at all': 4820, 'A little': 82, 'Some': 15, 'Quite a bit': 10, 'Very much': 8}"
53,E0501019,Feeling that most people cannot be trusted_past week?,2 m,,4943,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,4954,"{'Not at all': 4262, 'A little': 444, 'Some': 121, 'Quite a bit': 55, 'Very much': 61}"
54,E0501119,Having little appetite_past week?,2 m,,4935,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,4962,"{'Not at all': 4074, 'A little': 592, 'Some': 170, 'Quite a bit': 55, 'Very much': 44}"
55,E0501219,Suddenly getting a fright or feeling anxious_past week?,2 m,,4936,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,4961,"{'Not at all': 4422, 'A little': 404, 'Some': 57, 'Quite a bit': 32, 'Very much': 21}"
56,E0501319,Uncontrollable bursts of anger_past week?,2 m,,4935,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,4962,"{'Not at all': 4033, 'A little': 686, 'Some': 115, 'Quite a bit': 54, 'Very much': 47}"
57,E0501419,"Feeling alone, even when with other people_past week?",2 m,,4940,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,4957,"{'Not at all': 3880, 'A little': 762, 'Some': 160, 'Quite a bit': 63, 'Very much': 75}"
58,E0501519,Feeling impeded when doing all kinds of things_past week?,2 m,,4918,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,4979,"{'Not at all': 3405, 'A little': 1099, 'Some': 261, 'Quite a bit': 90, 'Very much': 63}"
59,E0501619,Feeling lonely_past week?,2 m,,4924,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,4973,"{'Not at all': 3683, 'A little': 937, 'Some': 158, 'Quite a bit': 69, 'Very much': 77}"
60,E0501719,Feeling down_past week?,2 m,,4943,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,4954,"{'Not at all': 3969, 'A little': 727, 'Some': 126, 'Quite a bit': 63, 'Very much': 58}"
61,E0501819,Having no interest in anything anymore_past week?,2 m,,4936,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,4961,"{'Not at all': 4242, 'A little': 529, 'Some': 88, 'Quite a bit': 42, 'Very much': 35}"
62,E0501919,Feeling afraid_past week?,2 m,,4942,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,4955,"{'Not at all': 4332, 'A little': 470, 'Some': 80, 'Quite a bit': 31, 'Very much': 29}"
63,E0502019,Feeling easily offended_past week?,2 m,,4931,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,4966,"{'Not at all': 3479, 'A little': 1079, 'Some': 221, 'Quite a bit': 76, 'Very much': 76}"
64,E0502119,Feeling that others are unfriendly or do not like you_past week?,2 m,,4943,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,4954,"{'Not at all': 4185, 'A little': 596, 'Some': 87, 'Quite a bit': 42, 'Very much': 33}"
65,E0502219,Feeling inferior to others_past week?,2 m,,4929,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,4968,"{'Not at all': 4119, 'A little': 639, 'Some': 96, 'Quite a bit': 40, 'Very much': 35}"
66,E0502319,Nausea or an upset stomach_past week?,2 m,,4929,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,4968,"{'Not at all': 4214, 'A little': 543, 'Some': 96, 'Quite a bit': 48, 'Very much': 28}"
67,E0502419,Feeling that others are watching you_past week?,2 m,,4924,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,4973,"{'Not at all': 4377, 'A little': 401, 'Some': 80, 'Quite a bit': 30, 'Very much': 36}"
68,E0502519,Difficulty in getting to sleep_past week?,2 m,,4941,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,4956,"{'Not at all': 3808, 'A little': 849, 'Some': 154, 'Quite a bit': 65, 'Very much': 65}"
69,E0502619,Difficulty in making decisions_past week?,2 m,,4940,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,4957,"{'Not at all': 3407, 'A little': 1165, 'Some': 233, 'Quite a bit': 67, 'Very much': 68}"
70,E0502719,Feeling afraid to travel_past week?,2 m,,4939,GR1019,E,,mother,item,,,,factor,20090326_GR1019-BSI E5,9897,4958,"{'Not at all': 4679, 'A little': 174, 'Some': 43, 'Quite a bit': 17, 'Very much': 26}"
